epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,2827.56,1.67413,0.7948,0.93144,0.88937,0.86486,0.91627,0.4591,1.71056,0.83548,0.97018,0.0004556,0.0004556,0.0004556
80,2869.69,1.66055,0.78255,0.93908,0.86226,0.92568,0.93953,0.444,1.80293,0.8741,0.97036,0.0004358,0.0004358,0.0004358
81,2907.74,1.66519,0.79848,0.92921,0.87586,0.90572,0.9353,0.46357,1.6879,0.88377,0.95434,0.000416,0.000416,0.000416
82,2944.6,1.6408,0.78812,0.92233,0.86447,0.90506,0.93234,0.44813,1.71934,0.92144,0.95768,0.0003962,0.0003962,0.0003962
83,2977.79,1.66029,0.77671,0.93099,0.90338,0.89865,0.93926,0.42207,1.83651,0.88782,0.97598,0.0003764,0.0003764,0.0003764
84,3015.86,1.67949,0.79382,0.94682,0.91032,0.91216,0.95277,0.44211,1.80404,0.85732,0.96659,0.0003566,0.0003566,0.0003566
85,3059.03,1.65094,0.79031,0.9453,0.87588,0.89189,0.92617,0.43326,1.7776,0.8973,0.96859,0.0003368,0.0003368,0.0003368
86,3101.59,1.66238,0.78633,0.94048,0.83507,0.88948,0.9078,0.44005,1.69445,0.97759,0.95872,0.000317,0.000317,0.000317
87,3142.82,1.67204,0.77808,0.93868,0.8778,0.89865,0.94661,0.4275,1.87571,0.89684,0.98054,0.0002972,0.0002972,0.0002972
88,3180.28,1.63484,0.76684,0.92436,0.8442,0.91892,0.94064,0.46908,1.72466,0.84687,0.95591,0.0002774,0.0002774,0.0002774
89,3214.36,1.65007,0.76446,0.94374,0.85478,0.93243,0.94849,0.43394,1.78477,0.84821,0.96451,0.0002576,0.0002576,0.0002576
90,3251.6,1.63356,0.74524,0.93463,0.87726,0.89189,0.94531,0.45116,1.74984,0.8486,0.95937,0.0002378,0.0002378,0.0002378
91,3289.66,1.6682,0.74814,0.97154,0.88046,0.89584,0.94358,0.44541,1.78516,0.83824,0.96974,0.000218,0.000218,0.000218
92,3327.61,1.6302,0.74811,0.96727,0.85511,0.91721,0.94579,0.44491,1.75808,0.85754,0.9629,0.0001982,0.0001982,0.0001982
93,3363.96,1.66556,0.75219,0.96514,0.8649,0.89189,0.92671,0.46051,1.69143,0.82351,0.95186,0.0001784,0.0001784,0.0001784
94,3396.48,1.59965,0.74425,0.96636,0.8583,0.90039,0.9369,0.43287,1.77648,0.84444,0.96886,0.0001586,0.0001586,0.0001586
95,3433.39,1.64363,0.75111,0.96561,0.85107,0.92673,0.94778,0.46354,1.74239,0.84071,0.95665,0.0001388,0.0001388,0.0001388
96,3466.41,1.64227,0.75947,0.9659,0.85772,0.90541,0.94568,0.4561,1.74585,0.85245,0.95634,0.000119,0.000119,0.000119
97,3499.43,1.64732,0.73347,0.96969,0.85629,0.88572,0.93439,0.44384,1.75662,0.87369,0.96072,9.92e-05,9.92e-05,9.92e-05
98,3536.42,1.62184,0.7499,0.95649,0.86403,0.88514,0.92992,0.44245,1.73897,0.86356,0.95954,7.94e-05,7.94e-05,7.94e-05
99,3569.7,1.6309,0.73785,0.96891,0.88775,0.89189,0.93226,0.43855,1.75984,0.8456,0.96409,5.96e-05,5.96e-05,5.96e-05
100,3606.3,1.62654,0.73201,0.95331,0.88939,0.89189,0.9346,0.4441,1.75035,0.83532,0.96335,3.98e-05,3.98e-05,3.98e-05
